"","sector","protein_len","gene.length..nt.","cog_name","functional_category_desc"
"1054","A",190,573,"Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family","Posttranslational modification, protein turnover, chaperones"
"1053","A",164,495,"Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family","Posttranslational modification, protein turnover, chaperones"
"1239","U",93,282,"Peptidyl-prolyl isomerase, parvulin family","Posttranslational modification, protein turnover, chaperones"
"1238","O",623,1872,"Peptidyl-prolyl isomerase, parvulin family","Posttranslational modification, protein turnover, chaperones"
"1403","A",688,2067,"Polyphosphate kinase","Inorganic ion transport and metabolism"
"846","C",792,2379,"Phosphoenolpyruvate synthase/pyruvate phosphate dikinase","Carbohydrate transport and metabolism"
"335","U",513,1542,"Exopolyphosphatase/pppGpp-phosphohydrolase","Nucleotide transport and metabolism"
"965","C",931,2796,"Predicted Zn-dependent peptidase, M16 family","General function prediction only"
"1306","A",682,2049,"C-terminal processing protease CtpA/Prc, contains a PDZ domain","Posttranslational modification, protein turnover, chaperones"
"278","O",360,1083,"Protein chain release factor RF1","Translation, ribosomal structure and biogenesis"
"1685","R",365,1099,"Protein chain release factor PrfB","Translation, ribosomal structure and biogenesis"
"3480","R",529,1590,"Peptide chain release factor RF-3","Translation, ribosomal structure and biogenesis"
"469","A",680,2043,"Zn-dependent oligopeptidase, M3 family","Posttranslational modification, protein turnover, chaperones"
"17","A",417,1254,"Gamma-glutamyl phosphate reductase","Amino acid transport and metabolism"
"361","O",367,1104,"Glutamate 5-kinase","Amino acid transport and metabolism"
"475","C",269,810,"Pyrroline-5-carboxylate reductase","Amino acid transport and metabolism"
"3080","R",232,699,"sRNA-binding protein ProQ","Signal transduction mechanisms"
"616","U",572,1719,"Prolyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"2412","A",330,993,"ABC-type proline/glycine betaine transport system, periplasmic component","Amino acid transport and metabolism"
"2722","C",296,891,"2-Methylisocitrate lyase and related enzymes, PEP mutase family","Carbohydrate transport and metabolism"
"649","U",315,948,"Phosphoribosylpyrophosphate synthetase","Nucleotide transport and metabolism"
"1121","S",322,969,"Phosphatidylserine decarboxylase","Lipid transport and metabolism"
"2209","O",222,669,"Phage shock protein A","Transcription"
"NA.49","R",NA,NA,NA,NA
"1974","S",451,1356,"Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase","Lipid transport and metabolism"
"387","S",714,2145,"Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)","Energy production and conversion"
"251","R",194,585,"Peptidyl-tRNA hydrolase","Translation, ribosomal structure and biogenesis"
"1459","A",962,2889,"Secreted/periplasmic Zn-dependent peptidases, insulinase-like","Posttranslational modification, protein turnover, chaperones"
"1755","U",477,1434,"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific","Carbohydrate transport and metabolism"
"2265","U",85,258,"HPr or related phosphotransfer protein","Signal transduction mechanisms"
"1543","A",575,1728,"Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)","Carbohydrate transport and metabolism"
"2160","O",163,492,"Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)","Carbohydrate transport and metabolism"
"130","A",432,1299,"Adenylosuccinate synthase","Nucleotide transport and metabolism"
"18","U",456,1371,"Adenylosuccinate lyase","Nucleotide transport and metabolism"
"192","U",237,714,"Phosphoribosylaminoimidazole-succinocarboxamide synthase","Nucleotide transport and metabolism"
"191","U",429,1290,"Phosphoribosylamine-glycine ligase","Nucleotide transport and metabolism"
"52","U",169,510,"Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase","Nucleotide transport and metabolism"
"40","U",505,1518,"Glutamine phosphoribosylpyrophosphate amidotransferase","Nucleotide transport and metabolism"
"177","U",529,1590,"AICAR transformylase/IMP cyclohydrolase PurH","Nucleotide transport and metabolism"
"29","U",355,1068,"Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)","Nucleotide transport and metabolism"
"60","U",1295,3888,"Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain","Nucleotide transport and metabolism"
"190","U",345,1038,"Phosphoribosylaminoimidazole (AIR) synthetase","Nucleotide transport and metabolism"
"413","R",212,639,"Folate-dependent phosphoribosylglycinamide formyltransferase PurN","Nucleotide transport and metabolism"
"2059","R",341,1026,"DNA-binding transcriptional regulator, LacI/PurR family","Transcription"
"30","U",392,1179,"Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)","Nucleotide transport and metabolism"
"1292","R",280,843,"Formyltetrahydrofolate hydrolase","Nucleotide transport and metabolism"
"925","S",502,1509,"Na+/proline symporter","Amino acid transport and metabolism"
"659","S",480,1443,"Pyruvate kinase","Carbohydrate transport and metabolism"
"658","U",470,1413,"Pyruvate kinase","Carbohydrate transport and metabolism"
"787","S",311,936,"Aspartate carbamoyltransferase, catalytic subunit","Nucleotide transport and metabolism"
"573","S",348,1047,"Dihydroorotase","Nucleotide transport and metabolism"
"208","C",336,1011,"Dihydroorotate dehydrogenase","Nucleotide transport and metabolism"
"648","U",213,642,"Orotate phosphoribosyltransferase","Nucleotide transport and metabolism"
"395","O",245,738,"Orotidine-5'-phosphate decarboxylase","Nucleotide transport and metabolism"
"715","U",545,1638,"CTP synthase (UTP-ammonia lyase)","Nucleotide transport and metabolism"
"762","U",241,726,"Uridylate kinase","Nucleotide transport and metabolism"
"949","A",327,984,"NADPH:quinone reductase or related Zn-dependent oxidoreductase","Energy production and conversion"
"1275","R",282,849,"NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, C-terminal domain, T-fold superfamily","Translation, ribosomal structure and biogenesis"
"2010","A",113,342,"Ribosome-associated translation inhibitor RaiA","Translation, ribosomal structure and biogenesis"
"1405","R",133,402,"Ribosome-binding factor RbfA","Translation, ribosomal structure and biogenesis"
"1596","S",501,1506,"ABC-type sugar transport system, ATPase component","Carbohydrate transport and metabolism"
"2232","S",296,891,"ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain","Carbohydrate transport and metabolism"
"1653","C",321,966,"Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component","Carbohydrate transport and metabolism"
"2224","C",139,420,"D-ribose pyranose/furanose isomerase RbsD","Carbohydrate transport and metabolism"
"755","C",309,930,"Sugar or nucleoside kinase, ribokinase family","Carbohydrate transport and metabolism"
"2498","O",216,651,"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains","Signal transduction mechanisms"
"NA.50","A",NA,NA,NA,NA
"161","O",197,594,"Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family","Nucleotide transport and metabolism"
"657","S",353,1062,"RecA/RadA recombinase","Replication, recombination and repair"
"435","A",744,2235,"(p)ppGpp synthase/hydrolase, HD superfamily","Signal transduction mechanisms"
"NA.51","A",NA,NA,NA,NA
"733","R",421,1266,"Superfamily II DNA and RNA helicase","Replication, recombination and repair"
"729","R",454,1365,"Superfamily II DNA and RNA helicase","Replication, recombination and repair"
"1635","R",419,1260,"Transcription termination factor Rho","Transcription"
"69","O",156,471,"6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)","Coenzyme transport and metabolism"
"NA.52","U",NA,NA,NA,NA
"2294","C",304,915,"Inosine-uridine nucleoside N-ribohydrolase","Nucleotide transport and metabolism"
"1319","A",182,549,"Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing","Translation, ribosomal structure and biogenesis"
"NA.53","R",NA,NA,NA,NA
"979","R",441,1326,"tRNA A37 methylthiotransferase MiaB","Translation, ribosomal structure and biogenesis"
"405","R",209,630,"23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ","Translation, ribosomal structure and biogenesis"
"1557","R",396,1191,"23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI","Translation, ribosomal structure and biogenesis"
"148","R",702,2109,"23S rRNA G2445 N2-methylase RlmL","Translation, ribosomal structure and biogenesis"
"1339","U",384,1155,"Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37","Translation, ribosomal structure and biogenesis"
"NA.54","U",NA,NA,NA,NA
"1687","R",291,876,"Pseudouridylate synthase RsuA, specific for 16S rRNA U516  and 23S rRNA U2605","Translation, ribosomal structure and biogenesis"
"828","R",319,960,"Pseudouridine synthase RluA, 23S rRNA- or tRNA-specific","Translation, ribosomal structure and biogenesis"
"3620","R",644,1935,"Exoribonuclease II","Transcription"
"843","R",226,681,"dsRNA-specific ribonuclease","Transcription"
"1998","R",1061,3186,"Ribonuclease G or E","Translation, ribosomal structure and biogenesis"
"1999","A",489,1470,"Ribonuclease G or E","Translation, ribosomal structure and biogenesis"
"812","S",813,2442,"Exoribonuclease R","Transcription"
"1909","C",337,1014,"Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains","Cell cycle control, cell division, chromosome partitioning"
"3556","A",84,255,"Transcriptional antiterminator Rof (Rho-off)","Transcription"
"42","S",225,678,"Pentose-5-phosphate-3-epimerase","Carbohydrate transport and metabolism"
"1122","R",228,687,"Ribonuclease PH","Translation, ribosomal structure and biogenesis"
"153","A",219,660,"Ribose 5-phosphate isomerase","Carbohydrate transport and metabolism"
"105","R",234,705,"Ribosomal protein L1","Translation, ribosomal structure and biogenesis"
"116","R",273,822,"Ribosomal protein L2","Translation, ribosomal structure and biogenesis"
"113","R",209,630,"Ribosomal protein L3","Translation, ribosomal structure and biogenesis"
"114","R",201,606,"Ribosomal protein L4","Translation, ribosomal structure and biogenesis"
"120","R",179,540,"Ribosomal protein L5","Translation, ribosomal structure and biogenesis"
"123","R",177,534,"Ribosomal protein L6P/L9E","Translation, ribosomal structure and biogenesis"
"493","R",149,450,"Ribosomal protein L9","Translation, ribosomal structure and biogenesis"
"324","R",165,498,"Ribosomal protein L10","Translation, ribosomal structure and biogenesis"
"104","R",142,429,"Ribosomal protein L11","Translation, ribosomal structure and biogenesis"
"285","R",121,366,"Ribosomal protein L7/L12","Translation, ribosomal structure and biogenesis"
"128","R",142,429,"Ribosomal protein L13","Translation, ribosomal structure and biogenesis"
"119","R",123,372,"Ribosomal protein L14","Translation, ribosomal structure and biogenesis"
"258","R",144,435,"Ribosomal protein L15","Translation, ribosomal structure and biogenesis"
"255","U",136,411,"Ribosomal protein L16/L10AE","Translation, ribosomal structure and biogenesis"
"261","R",127,384,"Ribosomal protein L17","Translation, ribosomal structure and biogenesis"
"351","R",117,354,"Ribosomal protein L18","Translation, ribosomal structure and biogenesis"
"464","R",115,348,"Ribosomal protein L19","Translation, ribosomal structure and biogenesis"
"404","R",118,357,"Ribosomal protein L20","Translation, ribosomal structure and biogenesis"
"359","R",103,312,"Ribosomal protein L21","Translation, ribosomal structure and biogenesis"
"117","R",110,333,"Ribosomal protein L22","Translation, ribosomal structure and biogenesis"
"115","U",100,303,"Ribosomal protein L23","Translation, ribosomal structure and biogenesis"
"256","R",104,315,"Ribosomal protein L24","Translation, ribosomal structure and biogenesis"
"2198","R",94,285,"Ribosomal protein L25 (general stress protein Ctc)","Translation, ribosomal structure and biogenesis"
"274","R",85,258,"Ribosomal protein L27","Translation, ribosomal structure and biogenesis"
"291","R",78,237,"Ribosomal protein L28","Translation, ribosomal structure and biogenesis"
"350","R",63,192,"Ribosomal protein L29","Translation, ribosomal structure and biogenesis"
"2208","R",59,180,"Ribosomal protein L30/L7E","Translation, ribosomal structure and biogenesis"
"349","R",70,213,"Ribosomal protein L31","Translation, ribosomal structure and biogenesis"
"462","R",57,174,"Ribosomal protein L32","Translation, ribosomal structure and biogenesis"
"368","R",55,168,"Ribosomal protein L33","Translation, ribosomal structure and biogenesis"
"294","U",46,141,"Ribosomal protein L34","Translation, ribosomal structure and biogenesis"
"403","R",65,198,"Ribosomal protein L35","Translation, ribosomal structure and biogenesis"
"260","O",329,990,"DNA-directed RNA polymerase, alpha subunit/40 kD subunit","Transcription"
"111","O",1342,4029,"DNA-directed RNA polymerase, beta subunit/140 kD subunit","Transcription"
"112","A",1407,4224,"DNA-directed RNA polymerase, beta' subunit/160 kD subunit","Transcription"
"838","S",613,1842,"DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)","Transcription"
"1976","A",477,1434,"DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog","Transcription"
"2149","U",91,276,"DNA-directed RNA polymerase, subunit K/omega","Transcription"
"786","U",557,1674,"Ribosomal protein S1","Translation, ribosomal structure and biogenesis"
"67","R",241,726,"Ribosomal protein S2","Translation, ribosomal structure and biogenesis"
"118","R",233,702,"Ribosomal protein S3","Translation, ribosomal structure and biogenesis"
"745","R",206,621,"Ribosomal protein S4 or related protein","Translation, ribosomal structure and biogenesis"
"124","R",167,504,"Ribosomal protein S5","Translation, ribosomal structure and biogenesis"
"494","R",131,396,"Ribosomal protein S6","Translation, ribosomal structure and biogenesis"
"63","R",179,540,"Ribosomal protein S7","Translation, ribosomal structure and biogenesis"
"122","R",130,393,"Ribosomal protein S8","Translation, ribosomal structure and biogenesis"
"129","R",130,393,"Ribosomal protein S9","Translation, ribosomal structure and biogenesis"
"66","R",103,312,"Ribosomal protein S10","Translation, ribosomal structure and biogenesis"
"126","R",129,390,"Ribosomal protein S11","Translation, ribosomal structure and biogenesis"
"62","R",124,375,"Ribosomal protein S12","Translation, ribosomal structure and biogenesis"
"125","R",118,357,"Ribosomal protein S13","Translation, ribosomal structure and biogenesis"
"257","R",101,306,"Ribosomal protein S14","Translation, ribosomal structure and biogenesis"
"236","R",89,270,"Ribosomal protein S15P/S13E","Translation, ribosomal structure and biogenesis"
"292","R",82,249,"Ribosomal protein S16","Translation, ribosomal structure and biogenesis"
"238","R",84,255,"Ribosomal protein S17","Translation, ribosomal structure and biogenesis"
"308","R",75,228,"Ribosomal protein S18","Translation, ribosomal structure and biogenesis"
"237","R",92,279,"Ribosomal protein S19","Translation, ribosomal structure and biogenesis"
"369","R",87,264,"Ribosomal protein S20","Translation, ribosomal structure and biogenesis"
"1351","R",71,216,"Ribosomal protein S21","Translation, ribosomal structure and biogenesis"
"1116","O",161,486,"RNA degradosome component RraA (regulator of RNase E activity)","Translation, ribosomal structure and biogenesis"
"3153","C",158,477,"Regulator of sigma D","Transcription"
"1638","S",350,1053,"Ribosome biogenesis GTPase RsgA","Translation, ribosomal structure and biogenesis"
"36","R",273,822,"16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)","Translation, ribosomal structure and biogenesis"
"2785","U",343,1032,"16S rRNA G1207 methylase RsmC","Translation, ribosomal structure and biogenesis"
"1881","R",243,732,"16S rRNA U1498 N3-methylase RsmE","Translation, ribosomal structure and biogenesis"
"2071","C",329,990,"ABC-type sulfate transport system, periplasmic component","Inorganic ion transport and metabolism"
"1497","C",588,1767,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit","Energy production and conversion"
"674","C",238,717,"Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit","Energy production and conversion"
"1055","O",901,2706,"Preprotein translocase subunit SecA (ATPase, RNA helicase)","Intracellular trafficking, secretion, and vesicular transport"
"2290","O",155,468,"Preprotein translocase subunit SecB","Intracellular trafficking, secretion, and vesicular transport"
"472","O",615,1848,"Preprotein translocase subunit SecD","Intracellular trafficking, secretion, and vesicular transport"
"1835","R",110,333,"Protein translocase subunit SecG","Intracellular trafficking, secretion, and vesicular transport"
"259","R",443,1332,"Preprotein translocase subunit SecY","Intracellular trafficking, secretion, and vesicular transport"
"2258","U",463,1392,"Seryl-tRNA(Sec) selenium transferase","Translation, ribosomal structure and biogenesis"
"3229","A",614,1845,"Selenocysteine-specific translation elongation factor SelB","Translation, ribosomal structure and biogenesis"
"1155","O",347,1044,"Selenophosphate synthase","Amino acid transport and metabolism"
"3019","U",181,546,"Negative regulator of replication initiation SeqA","Replication, recombination and repair"
"142","A",410,1233,"Phosphoglycerate dehydrogenase or related dehydrogenase","Coenzyme transport and metabolism"
"818","R",322,969,"Phosphoserine phosphatase","Amino acid transport and metabolism"
"2270","A",362,1089,"Phosphoserine aminotransferase","Coenzyme transport and metabolism"
"216","A",430,1293,"Seryl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"NA.55","S",NA,NA,NA,NA
"2827","S",161,486,"Periplasmic chaperone for outer membrane proteins, Skp family","Cell wall/membrane/envelope biogenesis"
"1830","A",198,597,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA","Transcription"
"2214","S",144,435,"DNA-binding transcriptional regulator, MarR family","Transcription"
"3122","O",155,468,"Outer membrane lipoprotein SlyB","Cell wall/membrane/envelope biogenesis"
"1486","O",196,591,"Peptidyl-prolyl cis-trans isomerase, FKBP type","Posttranslational modification, protein turnover, chaperones"
"NA.56","O",NA,NA,NA,NA
"951","U",206,621,"Superoxide dismutase","Inorganic ion transport and metabolism"
"950","O",193,582,"Superoxide dismutase","Inorganic ion transport and metabolism"
"971","A",349,1050,"Periplasmic serine protease, ClpP class","Posttranslational modification, protein turnover, chaperones"
"1077","A",372,1119,"Glycine/D-amino acid oxidase (deaminating)","Amino acid transport and metabolism"
"NA.57","C",NA,NA,NA,NA
"NA.58","S",NA,NA,NA,NA
"1640","A",658,1977,"Arginine decarboxylase (spermidine biosynthesis)","Amino acid transport and metabolism"
"14","C",306,921,"Arginase/agmatinase family enzyme","Amino acid transport and metabolism"
"2041","U",264,795,"S-adenosylmethionine decarboxylase","Amino acid transport and metabolism"
"576","U",288,867,"Spermidine synthase (polyamine aminopropyltransferase)","Amino acid transport and metabolism"
"972","U",618,1857,"Periplasmic serine protease, ClpP class","Posttranslational modification, protein turnover, chaperones"
"NA.59","U",NA,NA,NA,NA
"1002","C",178,537,"Single-stranded DNA-binding protein","Replication, recombination and repair"
"992","O",212,639,"Glutathione S-transferase","Posttranslational modification, protein turnover, chaperones"
"2935","R",165,498,"Stringent starvation protein B, binds SsrA peptide","Posttranslational modification, protein turnover, chaperones"
"1739","C",466,1401,"Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase","Energy production and conversion"
"2891","U",134,405,"DNA-binding protein H-NS","Transcription"
"836","C",933,2802,"2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes","Energy production and conversion"
"722","C",405,1218,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component","Energy production and conversion"
"59","C",388,1167,"Succinyl-CoA synthetase, beta subunit","Energy production and conversion"
"96","C",289,870,"Succinyl-CoA synthetase, alpha subunit","Energy production and conversion"
"679","U",267,804,"Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family","Carbohydrate transport and metabolism"
"1237","O",428,1287,"Peptidyl-prolyl isomerase, parvulin family","Posttranslational modification, protein turnover, chaperones"
"224","S",316,951,"Transaldolase/fructose-6-phosphate aldolase","Carbohydrate transport and metabolism"
"222","A",317,954,"Transaldolase/fructose-6-phosphate aldolase","Carbohydrate transport and metabolism"
"1369","C",533,1602,"Methyl-accepting chemotaxis protein (MCP)","Signal transduction mechanisms"
"1370","C",553,1662,"Methyl-accepting chemotaxis protein (MCP)","Signal transduction mechanisms"
"1085","S",346,1041,"Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family","Coenzyme transport and metabolism"
"1912","U",205,618,"Thymidine kinase","Nucleotide transport and metabolism"
"NA.60","A",NA,NA,NA,NA
"473","R",375,1128,"Queuine/archaeosine tRNA-ribosyltransferase","Translation, ribosomal structure and biogenesis"
"NA.61","A",NA,NA,NA,NA
"577","A",631,1896,"4-amino-2-methyl-5-hydroxymethylpyrimidine (HMP) synthase ThiC","Coenzyme transport and metabolism"
"485","A",266,801,"Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","Coenzyme transport and metabolism"
"486","A",211,636,"Thiamine monophosphate synthase","Coenzyme transport and metabolism"
"673","A",251,756,"Molybdopterin or thiamine biosynthesis adenylyltransferase","Coenzyme transport and metabolism"
"2354","A",256,771,"Thiazole synthase ThiGH, ThiG subunit (thiamin biosynthesis)","Coenzyme transport and metabolism"
"1505","U",377,1134,"2-iminoacetate synthase ThiH/Menaquinone biosynthesis enzymes MqnC and MqnE","Coenzyme transport and metabolism"
"415","R",482,1449,"Adenylyl- and sulfurtransferase ThiI (thiamine and tRNA 4-thiouridine biosynthesis)","Coenzyme transport and metabolism"
"NA.62","A",NA,NA,NA,NA
"2433","A",262,789,"Hydroxyethylthiazole kinase, sugar kinase family","Coenzyme transport and metabolism"
"646","A",820,2463,"Homoserine dehydrogenase","Amino acid transport and metabolism"
"107","S",310,933,"Homoserine kinase","Amino acid transport and metabolism"
"708","O",428,1287,"Threonine synthase","Amino acid transport and metabolism"
"615","R",642,1929,"Threonyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"267","S",264,795,"Thymidylate synthase","Nucleotide transport and metabolism"
"792","R",432,1299,"FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)","Posttranslational modification, protein turnover, chaperones"
"25","U",663,1992,"Transketolase","Carbohydrate transport and metabolism"
"24","A",667,2004,"Transketolase","Carbohydrate transport and metabolism"
"157","U",213,642,"Thymidylate kinase","Nucleotide transport and metabolism"
"1342","A",430,1293,"Periplasmic component TolB of the Tol biopolymer transport system","Intracellular trafficking, secretion, and vesicular transport"
"2004","O",493,1482,"Outer membrane protein TolC","Cell wall/membrane/envelope biogenesis"
"1323","O",230,693,"Biopolymer transport protein ExbB/TolQ","Intracellular trafficking, secretion, and vesicular transport"
"1322","U",239,720,"Periplasmic protein TonB, links inner and outer membranes","Cell wall/membrane/envelope biogenesis"
"803","O",865,2598,"DNA topoisomerase IA","Replication, recombination and repair"
"189","A",255,768,"Triosephosphate isomerase","Carbohydrate transport and metabolism"
"2388","U",168,507,"Peroxiredoxin","Posttranslational modification, protein turnover, chaperones"
"NA.63","O",NA,NA,NA,NA
"1368","C",546,1641,"Methyl-accepting chemotaxis protein (MCP)","Signal transduction mechanisms"
"NA.64","U",NA,NA,NA,NA
"831","O",246,741,"tRNA C32,U32 (ribose-2'-O)-methylase TrmJ or a related methyltransferase","Translation, ribosomal structure and biogenesis"
"199","U",268,807,"Tryptophan synthase alpha chain","Amino acid transport and metabolism"
"171","U",397,1194,"Tryptophan synthase beta chain","Amino acid transport and metabolism"
"172","U",453,1362,"Indole-3-glycerol phosphate synthase","Amino acid transport and metabolism"
"727","U",531,1596,"Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)","Amino acid transport and metabolism"
"186","U",520,1563,"Anthranilate/para-aminobenzoate synthases component I","Amino acid transport and metabolism"
"229","A",334,1005,"Tryptophanyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"167","U",314,945,"tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA","Translation, ribosomal structure and biogenesis"
"3092","A",109,330,"Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family","Posttranslational modification, protein turnover, chaperones"
"692","S",321,966,"Thioredoxin reductase","Posttranslational modification, protein turnover, chaperones"
"3091","O",139,420,"Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family","Posttranslational modification, protein turnover, chaperones"
"362","U",283,852,"Translation elongation factor EF-Ts","Translation, ribosomal structure and biogenesis"
"1372","C",551,1656,"Methyl-accepting chemotaxis protein (MCP)","Signal transduction mechanisms"
"3205","O",294,885,"Nucleoside-specific outer membrane channel protein Tsx","Cell wall/membrane/envelope biogenesis"
"46","R",311,936,"tRNA(Ile)-lysidine synthase TilS/MesJ","Translation, ribosomal structure and biogenesis"
"64","R",394,1185,"Translation elongation factor EF-Tu, a GTPase","Translation, ribosomal structure and biogenesis"
"NA.65","O",NA,NA,NA,NA
"398","U",373,1122,"Prephenate dehydrogenase","Amino acid transport and metabolism"
"1930","S",397,1194,"Aspartate/aromatic aminotransferase","Amino acid transport and metabolism"
"203","A",424,1275,"Tyrosyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"56","U",497,1494,"3-polyprenyl-4-hydroxybenzoate decarboxylase","Coenzyme transport and metabolism"
"2608","A",251,756,"Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG","Coenzyme transport and metabolism"
"2612","U",240,723,"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase","Coenzyme transport and metabolism"
"1467","C",263,792,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family","Lipid transport and metabolism"
"2821","S",253,762,"Uridine phosphorylase","Nucleotide transport and metabolism"
"41","R",208,627,"Uracil phosphoribosyltransferase","Nucleotide transport and metabolism"
"174","O",337,1014,"Aspartate-semialdehyde dehydrogenase","Amino acid transport and metabolism"
"1188","S",550,1653,"2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family","Nucleotide transport and metabolism"
"922","S",144,435,"Nucleotide-binding universal stress protein,  UspA family","Signal transduction mechanisms"
"918","S",316,951,"Nucleotide-binding universal stress protein,  UspA family","Signal transduction mechanisms"
"920","S",144,435,"Nucleotide-binding universal stress protein,  UspA family","Signal transduction mechanisms"
"917","S",142,429,"Nucleotide-binding universal stress protein,  UspA family","Signal transduction mechanisms"
"684","R",635,1908,"ATPase components of ABC transporters with duplicated ATPase domains","General function prediction only"
"272","U",720,2163,"Superfamily I DNA or RNA helicase","Replication, recombination and repair"
"757","U",951,2856,"Valyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1060","S",198,597,"Multimeric flavodoxin WrbA, includes NAD(P)H:quinone oxidoreductase","Energy production and conversion"
"3421","O",326,981,"LPS O-antigen chain length determinant protein, WzzB/FepE family","Cell wall/membrane/envelope biogenesis"
"1154","A",268,807,"Exonuclease III","Replication, recombination and repair"
"NA.66","S",NA,NA,NA,NA
"NA.67","S",NA,NA,NA,NA
"3294","A",204,615,"Uncharacterized membrane protein YagU, involved in acid resistance, DUF1440 family","Function unknown"
"1519","S",349,1050,"D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family","Carbohydrate transport and metabolism"
"NA.68","S",NA,NA,NA,NA
"3110","S",94,285,"Pyrimidine/purine nucleoside phosphorylase YaiE/PpnP, UPF0345/DUF1255 family","Nucleotide transport and metabolism"
"2221","C",110,333,"Protein translocase subunit YajC","Intracellular trafficking, secretion, and vesicular transport"
"3018","O",192,579,"Uncharacterized lipoprotein YajG","Function unknown"
"2102","R",163,492,"Cyclic di-GMP-binding protein YajQ, UPF0234 family","Signal transduction mechanisms"
"1169","R",109,330,"DNA-binding nucleoid-associated protein YbaB/EfbC","Transcription"
"3090","A",284,855,"Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family","Posttranslational modification, protein turnover, chaperones"
"414","R",269,810,"Short-chain dehydrogenase","General function prediction only"
"2720","R",70,213,"Ribosome-associated protein YbcJ, S4-like RNA-binding protein","Translation, ribosomal structure and biogenesis"
"512","O",362,1089,"Glycerol dehydrogenase or related enzyme, iron-containing ADH family","Energy production and conversion"
"2896","S",87,264,"Putative lipoate-binding regulatory protein, UPF0250 family","Signal transduction mechanisms"
"2122","S",346,1080,"Phosphate starvation-inducible protein PhoH, predicted ATPase","Signal transduction mechanisms"
"NA.69","O",NA,NA,NA,NA
"451","S",247,744,"Putative GTP cyclohydrolase 1 type 2, NIF3 family","Coenzyme transport and metabolism"
"2366","A",218,657,"5-oxoprolinase subunit B/Allophanate hydrolase subunit 1","Amino acid transport and metabolism"
"3603","R",427,1284,"Pectin methylesterase and related acyl-CoA thioesterases","Carbohydrate transport and metabolism"
"796","S",320,963,"Anthranilate phosphoribosyltransferase, glycosyltransferase domain","Amino acid transport and metabolism"
"2373","A",361,1086,"Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family","Energy production and conversion"
