"","gene","locus","gene.length..nt."
"1985","pheP","b0576",1377
"1986","pheS","b1714",984
"1987","pheT","b1713",2388
"1988","phnC","b4106",789
"1989","phnD","b4105",1017
"1990","phnE_1","b4104",621
"1991","phnE_2","b4103",369
"1992","phnF","b4102",726
"1993","phnG","b4101",453
"1994","phnH","b4100",585
"1995","phnI","b4099",1065
"1996","phnJ","b4098",846
"1997","phnK","b4097",759
"1998","phnL","b4096",681
"1999","phnM","b4095",1137
"2000","phnN","b4094",558
"2001","phnO","b4093",435
"2002","phnP","b4092",759
"2003","phoA","b0383",1416
"2004","phoB","b0399",690
"2005","phoE","b0241",1056
"2006","phoH","b1020",1065
"2007","phoP","b1130",672
"2008","phoQ","b1129",1461
"2009","phoR","b0400",1296
"2010","phoU","b3724",726
"2011","php","b3379",879
"2012","phr","b0708",1419
"2013","pinE","b1158",555
"2014","pinH","b2648",144
"2015","pinQ","b1545",591
"2016","pinR","b1374",591
"2017","pitA","b3493",1500
"2018","pitB","b2987",1500
"2019","plaP","b2014",1359
"2020","pldA","b3821",870
"2021","pldB","b3825",1023
"2022","pliG","b1178",402
"2023","plsB","b4041",2424
"2024","plsC","b3018",738
"2025","plsX","b1090",1071
"2026","pmbA","b4235",1353
"2027","pmrD","b2259",267
"2028","pmrR","b4703",90
"2029","pncA","b1768",642
"2030","pncB","b0931",1203
"2031","pncC","b2700",498
"2032","pnp","b3164",2136
"2033","pntA","b1603",1533
"2034","pntB","b1602",1389
"2035","pnuC","b0751",720
"2036","polA","b3863",2787
"2037","polB","b0060",2352
"2038","potA","b1126",1137
"2039","potB","b1125",828
"2040","potC","b1124",795
"2041","potD","b1123",1047
"2042","potE","b0692",1320
"2043","potF","b0854",1113
"2044","potG","b0855",1134
"2045","potH","b0856",954
"2046","potI","b0857",846
"2047","poxB","b0871",1719
"2048","ppa","b4226",531
"2049","ppc","b3956",2652
"2050","ppdA","b2826",471
"2051","ppdB","b2825",564
"2052","ppdC","b2823",324
"2053","ppdD","b0108",441
"2054","pphA","b1838",657
"2055","pphB","b2734",657
"2056","ppiA","b3363",573
"2057","ppiB","b0525",495
"2058","ppiC","b3775",282
"2059","ppiD","b0441",1872
"2060","ppk","b2501",2067
"2061","pppA","b2972",810
"2062","ppsA","b1702",2379
"2063","ppsR","b1703",834
"2064","pptA","b1461",234
"2065","ppx","b2502",1542
"2066","pqiA","b0950",1254
"2067","pqiB","b0951",1641
"2068","pqqL","b1494",2796
"2069","prc","b1830",2049
"2070","preA","b2147",1236
"2071","preT","b2146",1239
"2072","prfA","b1211",1083
"2073","prfB","b2891",1099
"2074","prfC","b4375",1590
"2075","prfH","b0236",501
"2076","priA","b3935",2199
"2077","priB","b4201",315
"2078","priC","b0467",528
"2079","prkB","b3355",870
"2080","prlC","b3498",2043
"2081","prlF","b3129",336
"2082","prmA","b3259",882
"2083","prmB","b2330",933
"2084","prmC","b1212",834
"2085","proA","b0243",1254
"2086","proB","b0242",1104
"2087","proC","b0386",810
"2088","proP","b4111",1503
"2089","proQ","b1831",699
"2090","proS","b0194",1719
"2091","proV","b2677",1203
"2092","proW","b2678",1065
"2093","proX","b2679",993
"2094","proY","b0402",1374
"2095","prpB","b0331",891
"2096","prpC","b0333",1170
"2097","prpD","b0334",1452
"2098","prpE","b0335",1887
"2099","prpR","b0330",1587
"2100","prs","b1207",948
"2101","psd","b4160",969
"2102","psiE","b4030",411
"2103","psiF","b0384",321
"2104","pspA","b1304",669
"2105","pspB","b1305",225
"2106","pspC","b1306",360
"2107","pspD","b1307",222
"2108","pspE","b1308",315
"2109","pspF","b1303",978
"2110","pspG","b4050",243
"2111","pssA","b2585",1356
"2112","pstA","b3726",891
"2113","pstB","b3725",774
"2114","pstC","b3727",960
"2115","pstS","b3728",1041
"2116","psuG","b2165",939
"2117","psuK","b2166",942
"2118","psuT","b2164",1251
"2119","pta","b2297",2145
"2120","pth","b1204",585
"2121","ptrA","b2821",2889
"2122","ptrB","b1845",2061
"2123","ptsA","b3947",2502
"2124","ptsG","b1101",1434
"2125","ptsH","b2415",258
"2126","ptsI","b2416",1728
"2127","ptsN","b3204",492
"2128","ptsP","b2829",2247
"2129","purA","b4177",1299
"2130","purB","b1131",1371
"2131","purC","b2476",714
"2132","purD","b4005",1290
"2133","purE","b0523",510
"2134","purF","b2312",1518
"2135","purH","b4006",1590
"2136","purK","b0522",1068
"2137","purL","b2557",3888
"2138","purM","b2499",1038
"2139","purN","b2500",639
"2140","purR","b1658",1026
"2141","purT","b1849",1179
"2142","purU","b1232",843
"2143","putA","b1014",3963
"2144","putP","b1015",1509
"2145","puuA","b1297",1419
"2146","puuB","b1301",1281
"2147","puuC","b1300",1488
"2148","puuD","b1298",765
"2149","puuE","b1302",1266
"2150","puuP","b1296",1386
"2151","puuR","b1299",558
"2152","pykA","b1854",1443
"2153","pykF","b1676",1413
"2154","pyrB","b4245",936
"2155","pyrC","b1062",1047
"2156","pyrD","b0945",1011
"2157","pyrE","b3642",642
"2158","pyrF","b1281",738
"2159","pyrG","b2780",1638
"2160","pyrH","b0171",726
"2161","pyrI","b4244",462
"2162","pyrL","b4246",135
"2163","qmcA","b0489",918
"2164","qor","b4051",984
"2165","qorB","b4211",861
"2166","qseB","b3025",660
"2167","qseC","b3026",1350
"2168","queA","b0405",1071
"2169","queC","b0444",696
"2170","queD","b2765",366
"2171","queE","b2777",672
"2172","queF","b2794",849
"2173","queG","b4166",1140
"2174","racC","b1351",276
"2175","racR","b1356",477
"2176","radA","b4389",1383
"2177","radD","b2184",1761
"2178","raiA","b2597",342
"2179","ralR","b1348",195
"2180","rapA","b0059",2907
"2181","rapZ","b3205",855
"2182","rarA","b0892",1344
"2183","rarD","b3819",891
"2184","ratA","b2619",477
"2185","ratB","b2618",291
"2186","ravA","b3746",1497
"2187","rayT","b0228",498
"2188","rbbA","b3486",2736
"2189","rbfA","b3167",402
"2190","rbn","b2268",918
"2191","rbsA","b3749",1506
"2192","rbsB","b3751",891
"2193","rbsC","b3750",966
"2194","rbsD","b3748",420
"2195","rbsK","b3752",930
"2196","rbsR","b3753",993
"2197","rcdA","b0846",537
"2198","rclA","b0304",1326
"2199","rclB","b0303",237
"2200","rclC","b0301",594
"2201","rclR","b0305",855
"2202","rcnA","b2106",825
"2203","rcnB","b2107",339
"2204","rcnR","b2105",273
"2205","rcsA","b1951",624
"2206","rcsB","b2217",651
"2207","rcsC","b2218",2802
"2208","rcsD","b2216",2673
"2209","rcsF","b0196",405
"2210","rdgB","b2954",594
"2211","rdgC","b0393",912
"2212","rdoA","b3859",987
"2213","recA","b2699",1062
"2214","recB","b2820",3543
"2215","recC","b2822",3369
"2216","recD","b2819",1827
"2217","recE","b1350",2601
"2218","recF","b3700",1074
"2219","recG","b3652",2082
"2220","recJ","b2892",1734
"2221","recN","b2616",1662
"2222","recO","b2565",729
"2223","recQ","b3822",1830
"2224","recR","b0472",606
"2225","recT","b1349",810
"2226","recX","b2698",501
"2227","relA","b2784",2235
"2228","relB","b1564",240
"2229","relE","b1563",288
"2230","rem","b1561",252
"2231","renD","b0542",186
"2232","rep","b3778",2022
"2233","rfaD","b3619",933
"2234","rfaE","b3052",1434
"2235","rfaH","b3842",489
"2236","rfbA","b2039",882
"2237","rfbB","b2041",1086
"2238","rfbC","b2038",558
"2239","rfbD","b2040",900
"2240","rfbX","b2037",1248
"2241","rfe","b3784",1104
"2242","rffC","b3790",546
"2243","rffG","b3788",1068
"2244","rffH","b3789",882
"2245","rffM","b3794",741
"2246","rffT","b4481",1080
"2247","rhaA","b3903",1260
"2248","rhaB","b3904",1470
"2249","rhaD","b3902",825
"2250","rhaM","b3901",315
"2251","rhaR","b3906",849
"2252","rhaS","b3905",837
"2253","rhaT","b3907",1035
"2254","rhlB","b3780",1266
"2255","rhlE","b0797",1365
"2256","rho","b3783",1260
"2257","rhoL","b3782",102
"2258","rhsA","b3593",4134
"2259","rhsB","b3482",4236
"2260","rhsC","b0700",4194
"2261","rhsD","b0497",4281
"2262","rhsE","b1456",2049
"2263","rhtA","b0813",888
"2264","rhtB","b3824",621
"2265","rhtC","b3823",621
"2266","ribA","b1277",591
"2267","ribB","b3041",654
"2268","ribC","b1662",642
"2269","ribD","b0414",1104
"2270","ribE","b0415",471
"2271","ribF","b0025",942
"2272","ridA","b4243",387
"2273","rihA","b0651",936
"2274","rihB","b2162",942
"2275","rihC","b0030",915
"2276","rimI","b4373",447
"2277","rimJ","b1066",585
"2278","rimK","b0852",903
"2279","rimL","b1427",540
"2280","rimM","b2608",549
"2281","rimO","b0835",1326
"2282","rimP","b3170",453
"2283","rlmA","b1822",810
"2284","rlmB","b4180",732
"2285","rlmC","b0859",1128
"2286","rlmD","b2785",1302
"2287","rlmE","b3179",630
"2288","rlmF","b0807",927
"2289","rlmG","b3084",1137
"2290","rlmH","b0636",468
"2291","rlmI","b0967",1191
"2292","rlmJ","b3499",843
"2293","rlmL","b0948",2109
"2294","rlmM","b2806",1101
"2295","rlmN","b2517",1155
"2296","rlpA","b0633",1089
"2297","rluA","b0058",660
"2298","rluB","b1269",876
"2299","rluC","b1086",960
"2300","rluD","b2594",981
"2301","rluE","b1135",654
"2302","rluF","b4022",873
"2303","rmf","b0953",168
"2304","rmuC","b3832",1428
"2305","rna","b0611",807
"2306","rnb","b1286",1935
"2307","rnc","b2567",681
"2308","rnd","b1804",1128
"2309","rne","b1084",3186
"2310","rng","b3247",1470
"2311","rnhA","b0214",468
"2312","rnhB","b0183",597
"2313","rnk","b0610",411
"2314","rnlA","b2630",1074
"2315","rnlB","b2631",372
"2316","rnpA","b3704",360
"2317","rnr","b4179",2442
"2318","rnt","b1652",648
"2319","rob","b4396",870
"2320","rodZ","b2516",1014
"2321","rof","b0189",255
"2322","roxA","b1128",1122
"2323","rpe","b3386",678
"2324","rph","b3643",687
"2325","rpiA","b2914",660
"2326","rpiB","b4090",450
"2327","rpiR","b4089",891
"2328","rplA","b3984",705
"2329","rplB","b3317",822
"2330","rplC","b3320",630
"2331","rplD","b3319",606
"2332","rplE","b3308",540
"2333","rplF","b3305",534
"2334","rplI","b4203",450
"2335","rplJ","b3985",498
"2336","rplK","b3983",429
"2337","rplL","b3986",366
"2338","rplM","b3231",429
"2339","rplN","b3310",372
"2340","rplO","b3301",435
"2341","rplP","b3313",411
"2342","rplQ","b3294",384
"2343","rplR","b3304",354
"2344","rplS","b2606",348
"2345","rplT","b1716",357
"2346","rplU","b3186",312
"2347","rplV","b3315",333
"2348","rplW","b3318",303
"2349","rplX","b3309",315
"2350","rplY","b2185",285
"2351","rpmA","b3185",258
"2352","rpmB","b3637",237
"2353","rpmC","b3312",192
"2354","rpmD","b3302",180
"2355","rpmE","b3936",213
"2356","rpmF","b1089",174
"2357","rpmG","b3636",168
"2358","rpmH","b3703",141
"2359","rpmI","b1717",198
"2360","rpmJ","b3299",117
"2361","rpoA","b3295",990
"2362","rpoB","b3987",4029
"2363","rpoC","b3988",4224
"2364","rpoD","b3067",1842
"2365","rpoE","b2573",576
"2366","rpoH","b3461",855
"2367","rpoN","b3202",1434
"2368","rpoS","b2741",993
"2369","rpoZ","b3649",276
"2370","rppH","b2830",531
"2371","rpsA","b0911",1674
"2372","rpsB","b0169",726
"2373","rpsC","b3314",702
"2374","rpsD","b3296",621
"2375","rpsE","b3303",504
"2376","rpsF","b4200",396
"2377","rpsG","b3341",540
"2378","rpsH","b3306",393
"2379","rpsI","b3230",393
"2380","rpsJ","b3321",312
"2381","rpsK","b3297",390
"2382","rpsL","b3342",375
"2383","rpsM","b3298",357
"2384","rpsN","b3307",306
"2385","rpsO","b3165",270
"2386","rpsP","b2609",249
"2387","rpsQ","b3311",255
"2388","rpsR","b4202",228
"2389","rpsS","b3316",279
"2390","rpsT","b0023",264
"2391","rpsU","b3065",216
"2392","rraA","b3929",486
"2393","rraB","b4255",417
"2394","rrrD","b0555",498
"2395","rrrQ","b1554",534
"2396","rsd","b3995",477
"2397","rseA","b2572",651
"2398","rseB","b2571",957
"2399","rseC","b2570",480
"2400","rseP","b0176",1353
"2401","rsfS","b0637",318
"2402","rsgA","b4161",1053
"2403","rsmA","b0051",822
"2404","rsmB","b3289",1290
"2405","rsmC","b4371",1032
"2406","rsmD","b3465",597
"2407","rsmE","b2946",732
"2408","rsmF","b1835",1440
"2409","rsmG","b3740",624
"2410","rsmH","b0082",942
"2411","rsmI","b3146",861
"2412","rsmJ","b3497",753
"2413","rspA","b1581",1215
"2414","rspB","b1580",1020
"2415","rssA","b1234",945
"2416","rssB","b1235",1014
"2417","rstA","b1608",729
"2418","rstB","b1609",1302
"2419","rsuA","b2183",696
"2420","rsxA","b1627",582
"2421","rsxB","b1628",579
"2422","rsxC","b1629",2223
"2423","rsxD","b1630",1059
"2424","rsxE","b1632",696
"2425","rsxG","b1631",621
"2426","rtcA","b4475",1017
"2427","rtcB","b3421",1227
"2428","rtcR","b3422",1599
"2429","rusA","b0550",363
"2430","rutA","b1012",1149
"2431","rutB","b1011",693
"2432","rutC","b1010",387
"2433","rutD","b1009",801
"2434","rutE","b1008",591
"2435","rutF","b1007",495
"2436","rutG","b1006",1329
"2437","rutR","b1013",639
"2438","ruvA","b1861",612
"2439","ruvB","b1860",1011
"2440","ruvC","b1863",522
"2441","rzoD","b4510",183
"2442","rzoR","b4528",186
"2443","rzpD","b0556",462
"2444","rzpR","b1362",300
"2445","sad","b1525",1389
"2446","safA","b1500",198
"2447","sanA","b2144",720
"2448","sapA","b1294",1644
"2449","sapB","b1293",966
"2450","sapC","b1292",891
"2451","sapD","b1291",993
"2452","sapF","b1290",807
"2453","satP","b0010",567
"2454","sbcB","b2011",1428
"2455","sbcC","b0397",3147
"2456","sbcD","b0398",1203
"2457","sbmA","b0377",1221
"2458","sbmC","b2009",474
"2459","sbp","b3917",990
"2460","scpA","b2917",2145
"2461","scpB","b2919",786
"2462","scpC","b2920",1479
"2463","sdaA","b1814",1365
"2464","sdaB","b2797",1368
"2465","sdaC","b2796",1290
"2466","sdhA","b0723",1767
"2467","sdhB","b0724",717
"2468","sdhC","b0721",390
"2469","sdhD","b0722",348
"2470","sdhE","b2897",267
"2471","sdiA","b1916",723
"2472","secA","b0098",2706
"2473","secB","b3609",468
"2474","secD","b0408",1848
"2475","secE","b3981",384
"2476","secF","b0409",972
"2477","secG","b3175",333
"2478","secM","b0097",513
"2479","secY","b3300",1332
"2480","selA","b3591",1392
"2481","selB","b3590",1845
"2482","selD","b1764",1044
"2483","seqA","b0687",546
"2484","serA","b2913",1233
"2485","serB","b4388",969
"2486","serC","b0907",1089
"2487","serS","b0893",1293
"2488","setA","b0070",1179
"2489","setB","b2170",1182
"2490","setC","b3659",1185
"2491","sfmA","b0530",543
"2492","sfmC","b0531",693
"2493","sfmD","b0532",2604
"2494","sfmF","b0534",516
"2495","sfmH","b0533",978
"2496","sfsA","b0146",705
"2497","sfsB","b3188",279
"2498","sgbE","b3583",696
"2499","sgbH","b3581",663
"2500","sgbU","b3582",861
"2501","sgcA","b4302",432
"2502","sgcB","b4565",279
"2503","sgcC","b4304",1314
"2504","sgcE","b4301",633
"2505","sgcQ","b4303",807
"2506","sgcR","b4300",783
"2507","sgcX","b4305",1122
"2508","sgrR","b0069",1656
"2509","sgrT","b4662",132
"2510","shiA","b1981",1317
"2511","shoB","b4687",81
"2512","sieB","b1353",489
"2513","sixA","b2340",486
"2514","skp","b0178",486
"2515","slmA","b3641",597
"2516","slp","b3506",567
"2517","slt","b4392",1938
"2518","slyA","b1642",435
"2519","slyB","b1641",468
"2520","slyD","b3349",591
"2521","slyX","b3348",219
"2522","smf","b4473",1125
"2523","smg","b3284",474
"2524","smpB","b2620",483
"2525","smrA","b1340",564
"2526","smrB","b2331",552
"2527","sodA","b3908",621
"2528","sodB","b1656",582
"2529","sodC","b1646",522
"2530","sohB","b1272",1050
"2531","solA","b1059",1119
"2532","soxR","b4063",465
"2533","soxS","b4062",324
"2534","speA","b2938",1977
"2535","speB","b2937",921
"2536","speC","b2965",2136
"2537","speD","b0120",795
"2538","speE","b0121",867
"2539","speF","b0693",2199
"2540","speG","b1584",561
"2541","spoT","b3650",2109
"2542","sppA","b1766",1857
"2543","spy","b1743",486
"2544","sra","b1480",138
"2545","srlA","b2702",564
"2546","srlB","b2704",372
"2547","srlD","b2705",780
"2548","srlE","b2703",960
"2549","srlR","b2707",774
"2550","srmB","b2576",1335
"2551","ssb","b4059",537
"2552","sseA","b2521",846
"2553","sseB","b2522",777
"2554","ssnA","b2879",1329
"2555","sspA","b3229",639
"2556","sspB","b3228",498
"2557","sstT","b3089",1245
"2558","ssuA","b0936",960
"2559","ssuB","b0933",768
"2560","ssuC","b0934",792
"2561","ssuD","b0935",1146
"2562","ssuE","b0937",576
"2563","stfE","b1157",537
"2564","stfR","b1372",3363
"2565","sthA","b3962",1401
"2566","stpA","b2669",405
"2567","sucA","b0726",2802
"2568","sucB","b0727",1218
"2569","sucC","b0728",1167
"2570","sucD","b0729",870
"2571","sufA","b1684",369
"2572","sufB","b1683",1488
"2573","sufC","b1682",747
"2574","sufD","b1681",1272
"2575","sufE","b1679",417
"2576","sufS","b1680",1221
"2577","sugE","b4148",318
"2578","suhB","b2533",804
"2579","sulA","b0958",510
"2580","surA","b0053",1287
"2581","sutR","b1434",537
"2582","sxy","b0959",630
"2583","syd","b2793",546
"2584","symE","b4347",342
"2585","tabA","b4252",453
"2586","tadA","b2559",504
"2587","tag","b3549",564
"2588","talA","b2464",951
"2589","talB","b0008",954
"2590","tam","b1519",759
"2591","tamA","b4220",1734
"2592","tamB","b4221",3780
"2593","tap","b1885",1602
"2594","tar","b1886",1662
"2595","tas","b2834",1041
"2596","tatA","b3836",270
"2597","tatB","b3838",516
"2598","tatC","b3839",777
"2599","tatD","b4483",783
"2600","tatE","b0627",204
"2601","tauA","b0365",963
"2602","tauB","b0366",768
"2603","tauC","b0367",828
"2604","tauD","b0368",852
"2605","tbpA","b0068",984
"2606","tcdA","b2812",807
"2607","tcyJ","b1920",801
"2608","tcyL","b1918",669
"2609","tcyN","b1917",753
"2610","tcyP","b1729",1392
"2611","tdcA","b3118",939
"2612","tdcB","b3117",990
"2613","tdcC","b3116",1332
"2614","tdcD","b3115",1221
"2615","tdcE","b3114",2295
"2616","tdcF","b3113",390
"2617","tdcG","b4471",1365
"2618","tdcR","b3119",219
"2619","tdh","b3616",1026
"2620","tdk","b1238",618
"2621","tehA","b1429",993
"2622","tehB","b1430",594
"2623","tesA","b0494",627
"2624","tesB","b0452",861
"2625","tfaD","b0561",564
"2626","tfaE","b1156",603
"2627","tfaQ","b1546",576
"2628","tfaR","b1373",576
"2629","tfaX","b0563",186
"2630","tgt","b0406",1128
"2631","thiC","b3994",1896
"2632","thiD","b2103",801
"2633","thiE","b3993",636
"2634","thiF","b3992",756
"2635","thiG","b3991",771
"2636","thiH","b3990",1134
"2637","thiI","b0423",1449
"2638","thiK","b1106",825
"2639","thiL","b0417",978
"2640","thiM","b2104",789
"2641","thiP","b0067",1611
"2642","thiQ","b0066",699
"2643","thiS","b4407",201
"2644","thpR","b0147",531
"2645","thrA","b0002",2463
"2646","thrB","b0003",933
"2647","thrC","b0004",1287
"2648","thrL","b0001",66
"2649","thrS","b1719",1929
"2650","thyA","b2827",795
"2651","tig","b0436",1299
"2652","tilS","b0188",1299
"2653","tisB","b4618",90
"2654","tktA","b2935",1992
"2655","tktB","b2465",2004
"2656","tldD","b3244",1446
"2657","tmcA","b2474",2016
"2658","tmk","b1098",642
"2659","tnaA","b3708",1416
"2660","tnaB","b3709",1248
"2661","tnaC","b3707",75
"2662","tolA","b0739",1266
"2663","tolB","b0740",1293
"2664","tolC","b3035",1482
"2665","tolQ","b0737",693
"2666","tolR","b0738",429
"2667","tomB","b0461",375
"2668","tonB","b1252",720
"2669","topA","b1274",2598
"2670","topAI","b4566",258
"2671","topB","b1763",1962
"2672","torA","b0997",2547
"2673","torC","b0996",1173
"2674","torD","b0998",600
"2675","torI","b4501",201
"2676","torR","b0995",693
"2677","torS","b0993",2745
"2678","torT","b0994",1029
"2679","torY","b1873",1101
"2680","torZ","b1872",2430
"2681","tpiA","b3919",768
"2682","tpr","b1229",102
"2683","tpx","b1324",507
"2684","tqsA","b1601",1035
"2685","treA","b1197",1698
"2686","treB","b4240",1422
"2687","treC","b4239",1656
"2688","treF","b3519",1650
"2689","treR","b4241",948
"2690","trg","b1421",1641
"2691","trkA","b3290",1377
"2692","trkG","b1363",1458
"2693","trkH","b3849",1452
"2694","trmA","b3965",1101
"2695","trmD","b2607",768
"2696","trmH","b3651",690
"2697","trmI","b2960",720
"2698","trmJ","b2532",741
"2699","trmL","b3606",474
"2700","trmO","b0195",708
"2701","trpA","b1260",807
"2702","trpB","b1261",1194
"2703","trpC","b1262",1362
"2704","trpD","b1263",1596
"2705","trpE","b1264",1563
"2706","trpL","b1265",45
"2707","trpR","b4393",327
"2708","trpS","b3384",1005
"2709","truA","b2318",813
"2710","truB","b3166",945
"2711","truC","b2791",783
"2712","truD","b2745",1050
"2713","trxA","b3781",330
"2714","trxB","b0888",966
"2715","trxC","b2582",420
"2716","tsaB","b1807",696
"2717","tsaC","b3282",573
"2718","tsaD","b3064",1014
"2719","tsaE","b4168",462
"2720","tsf","b0170",852
"2721","tsgA","b3364",1182
"2722","tsr","b4355",1656
"2723","tsx","b0411",885
"2724","ttcA","b1344",936
"2725","ttdA","b3061",912
"2726","ttdB","b3062",606
"2727","ttdR","b3060",933
"2728","ttdT","b3063",1464
"2729","tufA","b3339",1185
"2730","tufB","b3980",1185
"2731","tus","b1610",930
"2732","tusA","b3470",246
"2733","tusB","b3343",288
"2734","tusC","b3344",360
"2735","tusD","b3345",387
"2736","tusE","b0969",330
"2737","tynA","b1386",2274
"2738","tyrA","b2600",1122
"2739","tyrB","b4054",1194
"2740","tyrP","b1907",1212
"2741","tyrR","b1323",1542
"2742","tyrS","b1637",1275
"2743","uacT","b2888",1449
"2744","ubiA","b4040",873
"2745","ubiB","b3835",1641
"2746","ubiC","b4039",498
"2747","ubiD","b3843",1494
"2748","ubiE","b3833",756
"2749","ubiF","b0662",1176
"2750","ubiG","b2232",723
"2751","ubiH","b2907",1179
"2752","ubiI","b2906",1203
"2753","ubiJ","b3834",606
"2754","ubiX","b2311",570
"2755","ucpA","b2426",792
"2756","udk","b2066",642
"2757","udp","b3831",762
"2758","ugd","b2028",1167
"2759","ugpA","b3452",888
"2760","ugpB","b3453",1317
"2761","ugpC","b3450",1071
"2762","ugpE","b3451",846
"2763","ugpQ","b3449",744
"2764","uhpA","b3669",591
"2765","uhpB","b3668",1503
"2766","uhpC","b3667",1320
"2767","uhpT","b3666",1392
"2768","uidA","b1617",1812
"2769","uidB","b1616",1374
"2770","uidC","b1615",1266
"2771","uidR","b1618",591
"2772","ulaA","b4193",1398
"2773","ulaB","b4194",306
"2774","ulaC","b4195",465
"2775","ulaD","b4196",651
"2776","ulaE","b4197",855
"2777","ulaF","b4198",687
"2778","ulaG","b4192",1065
"2779","ulaR","b4191",756
"2780","umpG","b2744",762
"2781","umpH","b0675",753
"2782","umuC","b1184",1269
"2783","umuD","b1183",420
"2784","ung","b2580",690
"2785","uof","b4637",87
"2786","upp","b2498",627
"2787","uraA","b2497",1290
"2788","usg","b2319",1014
"2789","ushA","b0480",1653
"2790","uspA","b3495",435
"2791","uspB","b3494",336
"2792","uspC","b1895",429
"2793","uspD","b3923",429
"2794","uspE","b1333",951
"2795","uspF","b1376",435
"2796","uspG","b0607",429
"2797","uup","b0949",1908
"2798","uvrA","b4058",2823
"2799","uvrB","b0779",2022
"2800","uvrC","b1913",1833
"2801","uvrD","b3813",2163
"2802","uvrY","b1914",657
"2803","uxaA","b3091",1488
"2804","uxaB","b1521",1452
"2805","uxaC","b3092",1413
"2806","uxuA","b4322",1185
"2807","uxuB","b4323",1461
"2808","uxuR","b4324",774
"2809","valS","b4258",2856
"2810","ves","b1742",576
"2811","viaA","b3745",1452
"2812","vsr","b1960",471
"2813","waaA","b3633",1278
"2814","waaB","b3628",1110
"2815","waaC","b3621",960
"2816","waaF","b3620",1047
"2817","waaG","b3631",1125
"2818","waaH","b3615",1035
"2819","waaJ","b3626",1017
"2820","waaL","b3622",1260
"2821","waaO","b3627",1020
"2822","waaP","b3630",798
"2823","waaQ","b3632",1035
"2824","waaS","b3629",936
"2825","waaU","b3623",1074
"2826","waaY","b3625",699
"2827","waaZ","b3624",852
"2828","wbbH","b2035",1167
"2829","wbbI","b2034",993
"2830","wbbJ","b2033",591
"2831","wbbK","b2032",1119
"2832","wbbL_1","b2031",474
"2833","wcaA","b2059",840
"2834","wcaB","b2058",489
"2835","wcaC","b2057",1218
"2836","wcaD","b2056",1218
"2837","wcaE","b2055",747
"2838","wcaF","b2054",549
"2839","wcaI","b2050",1224
"2840","wcaJ","b2047",1395
"2841","wcaK","b2045",1281
"2842","wcaL","b2044",1221
"2843","wcaM","b2043",1395
"2844","wecB","b3786",1131
"2845","wecC","b3787",1263
"2846","wecE","b3791",1131
"2847","wecH","b3561",996
"2848","wrbA","b1004",597
"2849","wza","b2062",1140
"2850","wzb","b2061",444
"2851","wzc","b2060",2163
"2852","wzxC","b2046",1479
"2853","wzxE","b3792",1251
"2854","wzyE","b3793",1353
"2855","wzzB","b2027",981
"2856","wzzE","b3785",1047
"2857","xanP","b3654",1392
"2858","xanQ","b2882",1401
"2859","xapA","b2407",834
"2860","xapB","b2406",1257
"2861","xapR","b2405",885
"2862","xdhA","b2866",2259
"2863","xdhB","b2867",879
"2864","xdhC","b2868",480
"2865","xdhD","b2881",2871
"2866","xerC","b3811",897
"2867","xerD","b2894",897
"2868","xisE","b1141",246
"2869","xisR","b1346",216
"2870","xseA","b2509",1371
"2871","xseB","b0422",243
"2872","xthA","b1749",807
"2873","xylA","b3565",1323
"2874","xylB","b3564",1455
"2875","xylE","b4031",1476
"2876","xylF","b3566",993
"2877","xylG","b3567",1542
"2878","xylH","b3568",1182
"2879","xylR","b3569",1179
"2880","yaaA","b0006",777
"2881","yaaI","b0013",405
"2882","yaaJ","b0007",1431
"2883","yaaU","b0045",1332
"2884","yaaW","b0011",714
"2885","yaaX","b0005",297
"2886","yaaY","b0024",219
"2887","yabI","b0065",765
"2888","yabP","b0056",651
"2889","yabQ","b0057",159
"2890","yacC","b0122",348
"2891","yacG","b0101",198
"2892","yacH","b0117",1854
"2893","yacL","b0119",363
"2894","yadC","b0135",1239
"2895","yadD","b0132",903
"2896","yadE","b0130",1230
"2897","yadG","b0127",927
"2898","yadH","b0128",771
"2899","yadI","b0129",441
"2900","yadK","b0136",597
"2901","yadL","b0137",606
"2902","yadM","b0138",570
"2903","yadN","b0141",585
"2904","yadS","b0157",624
"2905","yadV","b0140",741
"2906","yaeF","b0193",825
"2907","yaeH","b0163",387
"2908","yaeI","b0164",813
"2909","yaeP","b4406",201
"2910","yaeQ","b0190",546
"2911","yaeR","b0187",390
"2912","yafC","b0208",915
"2913","yafD","b0209",801
"2914","yafE","b0210",624
"2915","yafF","b4503",189
"2916","yafJ","b0223",768
"2917","yafK","b0224",741
"2918","yafL","b0227",750
"2919","yafN","b0232",294
"2920","yafO","b0233",399
"2921","yafP","b0234",453
"2922","yafQ","b0225",279
"2923","yafS","b0213",723
"2924","yafT","b0217",786
"2925","yafU","b0218",339
"2926","yafV","b0219",771
"2927","yafW","b0246",318
"2928","yafX","b0248",459
"2929","yafY","b0251",444
"2930","yafZ","b0252",822
"2931","yagA","b0267",1155
"2932","yagB","b0266",351
"2933","yagE","b0268",909
"2934","yagF","b0269",1968
"2935","yagG","b0270",1383
"2936","yagH","b0271",1611
"2937","yagI","b0272",759
"2938","yagJ","b0276",732
"2939","yagK","b0277",627
"2940","yagL","b0278",699
"2941","yagM","b0279",855
